Employee_ID,Age,Gender,Department,Job_Role,Education_Level,Marital_Status,Total_Work_Experience,Years_At_Company,Years_In_Current_Role,Monthly_Salary,Salary_Hike_Percent,Job_Level,Overtime,Work_Life_Balance,Job_Satisfaction,Environment_Satisfaction,Relationship_With_Manager,Training_Hours_Last_Year,Performance_Rating,Distance_From_Home,Promotion_Last_5_Years,Absenteeism_Rate,Company_Stock_Option,Attrition
E1001,39,Female,Finance,Finance Manager,Master,Single,12.3,11.4,2.8,75571,8,Level 1,No,3,0.66,0.86,3,38,5,18,No,1.87,Yes,0
E1002,51,Male,Human Resources,Recruiter,High School,Divorced,21.1,14.9,9.6,39289,18,Level 1,No,4,0.22,0.69,2,49,1,26,No,8.85,No,0
E1003,48,Male,Finance,Accountant,PhD,Married,19.3,12.3,7.5,34266,22,Level 3,Yes,1,0.7,0.81,1,43,2,14,Yes,9.04,No,0
E1004,53,Male,Sales,Sales Executive,PhD,Single,17.6,2.8,1.5,48708,19,Level 5,No,1,0.27,0.49,2,11,4,25,Yes,3.33,Yes,0
E1005,51,Female,Research,Data Scientist,High School,Divorced,23.7,8.7,3.1,29207,13,Level 5,Yes,1,0.4,0.93,1,26,2,30,Yes,0.15,Yes,0
E1006,46,Female,Finance,Accountant,Diploma,Single,10.5,1.9,0.8,64386,10,Level 2,No,1,0.13,0.31,3,35,5,26,No,7.01,Yes,1
E1007,49,Female,Marketing,Brand Manager,High School,Married,1.2,0.3,0.3,55402,17,Level 2,No,1,0.82,0.23,4,25,5,12,Yes,9.84,No,0
E1008,57,Female,Operations,Supply Chain Analyst,PhD,Single,12.9,1.4,0.6,105800,10,Level 3,No,3,0.72,0.31,2,34,1,4,Yes,7.99,No,0
E1009,41,Female,Operations,Supply Chain Analyst,High School,Married,9.2,4.8,0.6,49111,6,Level 4,No,4,0.58,0.48,4,37,3,36,Yes,5.6,No,0
E1010,30,Male,Finance,Financial Analyst,Diploma,Married,2.6,0.2,0.1,113929,6,Level 3,No,1,0.89,0.65,4,21,5,19,No,0.37,Yes,0
E1011,57,Female,Sales,Sales Executive,Bachelor,Divorced,17.2,12.5,10,57087,20,Level 5,Yes,1,0.54,0.54,1,58,5,7,Yes,0.73,No,0
E1012,43,Female,Finance,Accountant,Master,Single,6.4,6.3,2.9,91169,23,Level 1,Yes,1,0.86,0.44,3,13,4,34,No,5.3,Yes,0
E1013,41,Male,Marketing,Marketing Specialist,Master,Divorced,4.9,4.5,0.8,30026,21,Level 4,Yes,2,0.35,0.45,5,46,5,20,No,3.96,No,0
E1014,37,Male,Finance,Finance Manager,Diploma,Married,10.5,2.4,2,34821,22,Level 2,Yes,3,0.6,0.85,3,13,2,38,Yes,6.31,Yes,0
E1015,41,Female,IT,Software Engineer,High School,Divorced,17.3,7.9,0.4,95220,8,Level 1,Yes,3,0.5,0.14,5,42,1,29,No,0.11,No,0
E1016,34,Male,IT,System Administrator,PhD,Divorced,7.2,2.5,2.5,93496,21,Level 1,No,4,0.82,0.33,4,14,5,37,Yes,7.18,Yes,0
E1017,41,Male,Human Resources,HR Executive,PhD,Single,6.1,2.7,1.9,93801,19,Level 5,Yes,4,0.89,0.59,5,47,3,14,Yes,9.82,No,0
E1018,49,Male,Operations,Operations Manager,PhD,Single,24.7,10.3,4.3,47697,6,Level 4,No,3,0.32,0.42,1,50,5,38,No,4.63,No,0
E1019,48,Male,Research,Data Scientist,Diploma,Married,24.1,4.3,3,58122,18,Level 3,Yes,2,0.48,0.33,4,17,4,7,No,1.39,No,0
E1020,23,Female,Sales,Sales Representative,High School,Single,0.8,0.5,0.4,74739,22,Level 5,No,2,0.23,0.18,2,10,1,39,No,2.52,No,1
E1021,39,Male,Marketing,SEO Analyst,Bachelor,Single,9.4,0.8,0.6,76547,14,Level 2,No,4,0.22,0.79,2,48,3,31,Yes,8.71,Yes,0
E1022,30,Female,IT,Data Engineer,Bachelor,Single,1.2,0.7,0.5,109213,22,Level 1,No,1,0.87,0.63,1,11,4,1,No,2.74,No,0
E1023,32,Male,Human Resources,Recruiter,Bachelor,Married,10,7.1,3.4,86223,17,Level 1,No,4,0.92,0.51,4,54,1,21,Yes,9.21,No,0
E1024,55,Male,Marketing,SEO Analyst,Bachelor,Divorced,0.8,0.7,0.6,82912,15,Level 2,No,3,0.49,0.83,4,7,5,33,Yes,2.05,Yes,0
E1025,46,Female,Research,Research Associate,PhD,Divorced,13.8,11.7,7.7,91570,11,Level 1,Yes,1,0.29,0.94,1,24,5,27,No,7.19,No,0
E1026,28,Male,Finance,Accountant,Bachelor,Married,5.8,0.7,0.3,75060,8,Level 2,Yes,3,0.69,0.26,4,34,1,27,No,7.72,No,1
E1027,41,Female,Finance,Financial Analyst,PhD,Married,16.8,13.6,2.1,69935,18,Level 1,No,3,0.84,0.92,2,42,3,38,Yes,5.39,No,0
E1028,51,Male,Marketing,Brand Manager,PhD,Divorced,9.9,6.4,6.4,18846,18,Level 2,Yes,4,0.98,0.39,3,10,5,9,Yes,4.71,Yes,1
E1029,33,Male,Operations,Operations Executive,Diploma,Single,4,0.6,0.5,32840,16,Level 3,No,2,0.44,0.13,4,13,1,1,Yes,1.06,Yes,0
E1030,29,Male,Finance,Financial Analyst,High School,Single,3.6,1.2,0.7,75914,10,Level 2,Yes,1,0.11,0.21,4,29,3,10,No,0.36,No,1
E1031,32,Male,Operations,Operations Executive,High School,Single,6.8,0.2,0.1,61021,18,Level 2,No,1,0.24,0.84,2,39,5,6,Yes,1.37,No,0
E1032,50,Female,Human Resources,Recruiter,High School,Divorced,22.3,9.9,9.6,76135,18,Level 2,Yes,1,0.11,0.29,3,37,1,32,No,3.31,Yes,1
E1033,51,Female,IT,Software Engineer,Master,Married,9.9,6.7,0.3,30949,15,Level 5,No,3,0.53,0.46,2,16,4,24,No,5.43,Yes,0
E1034,44,Female,Marketing,Brand Manager,Master,Married,1,0.7,0.6,71277,7,Level 2,Yes,3,0.85,0.43,3,20,1,23,Yes,9.51,Yes,0
E1035,22,Female,Finance,Financial Analyst,PhD,Single,0.6,0.6,0.4,89867,16,Level 5,Yes,4,0.98,0.83,5,28,3,30,No,1.99,No,0
E1036,57,Female,IT,Data Engineer,Master,Single,17.9,12.1,5.7,40005,13,Level 1,No,3,0.48,0.62,4,20,2,21,Yes,3.36,Yes,0
E1037,55,Male,Sales,Sales Representative,High School,Married,22.8,12.9,5.6,51125,9,Level 5,No,3,0.16,0.27,1,12,1,8,No,7.2,Yes,0
E1038,38,Male,Finance,Finance Manager,Master,Married,1.4,1.4,1.2,50617,8,Level 3,Yes,3,0.9,0.47,4,6,3,15,No,4.57,No,0
E1039,34,Female,Human Resources,Recruiter,Master,Single,8.4,3.6,1.2,105130,15,Level 4,No,3,0.27,0.61,1,34,5,6,Yes,6.73,Yes,0
E1040,35,Male,Finance,Accountant,Master,Divorced,8,7.1,3.6,114973,14,Level 4,Yes,3,0.33,0.76,3,19,3,9,No,3.3,No,0
E1041,34,Female,IT,Software Engineer,Diploma,Divorced,5.6,0.1,0.1,21755,9,Level 2,Yes,4,0.23,0.92,1,6,3,3,No,6,Yes,1
E1042,50,Female,Marketing,Marketing Specialist,PhD,Divorced,12.1,11.5,2.9,46645,15,Level 2,No,3,0.71,0.14,3,32,3,7,No,3.55,No,0
E1043,54,Female,Human Resources,HR Manager,High School,Single,14.2,11.7,5.3,107243,12,Level 5,Yes,3,0.67,0.22,3,57,4,9,No,0.64,No,0
E1044,35,Female,Research,Research Associate,High School,Divorced,6.5,3.7,0.8,26699,16,Level 4,Yes,2,0.44,0.62,1,54,3,31,No,0.49,No,0
E1045,56,Male,Human Resources,Recruiter,Diploma,Married,25.3,11.5,0.8,43693,10,Level 3,No,1,0.47,0.81,2,14,1,6,No,4.23,No,0
E1046,24,Male,Finance,Finance Manager,Master,Divorced,2.5,1.6,1,56669,11,Level 3,Yes,4,0.29,0.26,4,51,2,30,No,4.43,No,1
E1047,41,Female,Operations,Operations Executive,High School,Divorced,12.9,11.9,4.9,83942,16,Level 3,No,1,0.93,0.47,4,46,3,1,No,4.77,Yes,0
E1048,41,Female,Sales,Account Manager,Bachelor,Divorced,2.1,1.9,0.3,44985,11,Level 2,Yes,3,0.42,0.89,5,18,3,23,Yes,0.76,No,0
E1049,32,Male,Human Resources,HR Manager,Bachelor,Single,10,7.8,6.6,112495,10,Level 1,Yes,2,0.34,0.9,4,29,2,19,No,9.06,Yes,0
E1050,33,Female,IT,System Administrator,Diploma,Divorced,9.3,5.5,4.8,78855,5,Level 2,Yes,4,0.14,0.42,1,42,3,23,No,6.2,No,0
E1051,38,Male,Sales,Sales Representative,Bachelor,Divorced,7.9,2.8,2.4,33378,20,Level 3,No,1,0.11,0.37,4,8,1,27,No,7.6,No,0
E1052,22,Female,Research,Research Associate,PhD,Divorced,0.9,0.5,0.3,37612,5,Level 1,No,3,0.38,0.18,3,19,4,35,No,7.14,No,1
E1053,43,Female,Human Resources,HR Manager,Master,Divorced,18.6,10.9,0.3,108534,9,Level 1,Yes,1,0.97,0.46,3,47,4,7,Yes,8.09,No,0
E1054,38,Male,Marketing,Marketing Specialist,Master,Single,13.9,3.1,0.7,87679,10,Level 4,Yes,1,0.58,0.81,5,25,1,1,Yes,3.24,No,0
E1055,57,Female,Operations,Operations Manager,Bachelor,Single,29.9,3.9,0.7,103806,15,Level 3,No,2,0.28,0.84,2,43,2,2,Yes,2.87,No,0
E1056,32,Female,Finance,Accountant,Bachelor,Divorced,2.8,0.6,0.6,106354,9,Level 3,No,4,0.62,0.39,4,8,5,34,No,4.23,No,0
E1057,53,Female,Operations,Supply Chain Analyst,Bachelor,Single,17,8.9,2.2,46019,9,Level 2,Yes,4,0.56,0.57,4,15,3,2,No,8.87,No,0
E1058,59,Female,Research,Research Analyst,Master,Single,26.1,1.4,1.3,109490,11,Level 3,Yes,1,0.38,0.67,3,40,4,37,No,1.86,No,1
E1059,23,Male,Human Resources,HR Manager,Diploma,Married,1,0.7,0.5,76453,24,Level 4,No,2,0.17,0.3,1,10,2,35,No,5.36,Yes,1
E1060,54,Female,IT,System Administrator,Diploma,Divorced,16.1,3,1.4,101914,5,Level 5,No,1,0.11,0.81,1,51,2,3,No,0.93,No,0
E1061,57,Female,Marketing,Brand Manager,Diploma,Divorced,32.7,5.8,0.1,97174,10,Level 4,No,2,0.41,0.2,2,44,3,13,No,8.6,Yes,0
E1062,42,Female,IT,DevOps Engineer,High School,Married,17.3,11.6,9.8,33879,21,Level 5,Yes,1,0.37,0.63,1,23,5,1,Yes,0.04,Yes,0
E1063,27,Male,Human Resources,HR Manager,Diploma,Divorced,2.3,0.7,0.6,35673,22,Level 4,Yes,2,0.57,0.56,3,58,4,29,Yes,2.13,No,0
E1064,35,Female,Human Resources,Recruiter,Diploma,Single,13.4,7.2,3.7,18388,8,Level 5,Yes,4,0.94,0.24,3,49,4,25,Yes,5,Yes,1
E1065,28,Female,IT,System Administrator,Bachelor,Single,6.6,4.3,0.9,113945,10,Level 2,Yes,4,0.94,0.54,2,54,1,13,Yes,6.21,Yes,0
E1066,23,Male,Sales,Sales Representative,PhD,Married,1.3,0.8,0.7,113474,11,Level 3,No,2,0.81,0.67,1,21,5,6,No,9.74,Yes,0
E1067,24,Female,Marketing,Brand Manager,PhD,Married,1.6,1.2,0.5,78684,21,Level 1,No,1,0.93,0.88,1,53,3,9,Yes,8.93,Yes,0
E1068,58,Male,Research,Data Scientist,Bachelor,Single,7.3,3.3,1.8,97324,23,Level 1,Yes,1,0.73,0.61,5,28,3,26,Yes,8.8,Yes,0
E1069,51,Female,Human Resources,HR Executive,Bachelor,Married,6.6,1.2,0.9,61119,20,Level 1,Yes,1,0.53,0.75,2,37,4,16,Yes,6.42,Yes,0
E1070,40,Male,Human Resources,HR Executive,High School,Married,15.1,5.2,4.7,50684,17,Level 2,No,2,0.93,0.2,3,29,1,6,No,6.92,Yes,0
E1071,26,Male,Sales,Sales Executive,Diploma,Married,4.6,2.4,2.4,95302,17,Level 3,Yes,4,0.31,0.26,2,12,1,18,Yes,7.04,Yes,1
E1072,28,Male,Human Resources,Recruiter,Bachelor,Divorced,5.4,1.2,0.5,58939,6,Level 4,Yes,4,0.23,0.78,3,33,1,7,No,9.94,Yes,1
E1073,27,Female,Marketing,SEO Analyst,High School,Divorced,0.6,0.4,0.1,85691,22,Level 3,Yes,4,0.55,0.84,3,12,3,24,No,8.74,No,0
E1074,41,Male,Research,Research Associate,High School,Single,14.4,2.8,0.9,107973,23,Level 4,Yes,1,0.56,0.53,4,20,4,19,Yes,8.74,No,0
E1075,54,Male,Human Resources,HR Executive,High School,Married,11.4,7.2,0.1,111253,11,Level 1,No,4,0.87,0.66,5,12,4,10,No,1.02,No,0
E1076,30,Female,Marketing,Brand Manager,Master,Divorced,3.9,1.9,0.5,74588,20,Level 5,No,4,0.66,0.57,2,43,4,39,Yes,1.55,Yes,0
E1077,55,Female,IT,System Administrator,PhD,Single,33.9,7.1,5.1,72511,7,Level 1,Yes,2,0.97,0.92,1,35,5,11,Yes,0.52,Yes,0
E1078,55,Female,IT,System Administrator,Master,Married,12.4,9.2,6.5,18005,10,Level 2,No,3,0.25,0.42,4,26,4,9,Yes,3.55,No,0
E1079,27,Male,Research,Data Scientist,Diploma,Single,3.5,0.9,0.9,32773,5,Level 4,No,3,0.73,0.95,4,53,2,3,No,2.75,Yes,0
E1080,26,Female,Human Resources,HR Manager,Diploma,Single,3.2,1.9,0.3,85217,22,Level 4,No,1,0.56,0.21,3,18,4,23,Yes,1.45,No,0
E1081,57,Female,Research,Research Analyst,High School,Single,30,6.8,5.6,31426,9,Level 4,No,3,0.12,0.9,2,22,4,21,Yes,6.69,Yes,0
E1082,59,Male,Finance,Financial Analyst,Master,Divorced,36.1,13.2,9.4,87169,20,Level 1,No,1,0.79,0.42,2,6,2,34,No,8.37,No,0
E1083,45,Male,Marketing,Marketing Specialist,Diploma,Single,4.6,0.9,0.1,92774,17,Level 5,Yes,4,0.98,0.58,2,40,4,4,No,7.23,No,0
E1084,58,Female,Human Resources,Recruiter,PhD,Divorced,6.6,0.2,0.1,104423,19,Level 1,No,2,0.18,0.63,1,59,2,4,No,1.22,No,0
E1085,39,Male,Operations,Operations Executive,PhD,Divorced,0.7,0.3,0.1,48931,11,Level 4,No,2,0.93,0.7,2,31,4,2,Yes,0.85,Yes,0
E1086,28,Male,Operations,Supply Chain Analyst,PhD,Divorced,6.6,0.6,0.4,55714,16,Level 4,No,3,0.15,0.33,1,44,3,5,Yes,1.7,No,1
